169	WGR Wagerr	WGR	$93,281,139	$0.509733	183,000,000 *	$328,447	1.57%	-5.10%	7.91%	
170	DPY Delphy	DPY	$92,284,348	$3.16	29,250,004 *	$125,355	-1.67%	2.47%	31.04%	
171	PAYX Paypex	PAYX	$89,678,657	$1.31	68,380,258 *	$53,860	-0.26%	49.28%	144.15%	
172	EDO Eidoo	EDO	$89,670,515	$3.96	22,620,193 *	$6,525,330	1.51%	3.60%	-0.59%	
173	BURST Burst	BURST	$87,742,082	$0.048736	1,800,339,818	$3,201,980	0.48%	-2.44%	-27.77%	
174	ATM ATMChain	ATM	$85,200,056	$0.017229	4,945,153,858 *	$70,214	-1.90%	-5.64%	-22.31%	
175	CFI Cofound.it	CFI	$84,943,625	$0.261365	325,000,000 *	$3,158,750	-0.24%	0.80%	-3.36%	
176	XCP Counterparty	XCP	$84,546,880	$32.30	2,617,429 *	$519,350	1.97%	-0.96%	-2.73%	
177	AMB Ambrosus	AMB	$84,248,100	$0.582665	144,590,975 *	$1,888,340	1.52%	1.69%	68.09%	
178	PURA Pura	PURA	$83,229,378	$0.483096	172,283,310	$432,822	-4.03%	-18.10%	-4.64%	
179	AST AirSwap	AST	$82,427,550	$0.549517	150,000,000 *	$9,819,130	-0.60%	5.49%	35.93%	
180	XSPEC Spectrecoin	XSPEC	$82,388,006	$3.96	20,785,264 *	$1,181,400	0.27%	12.56%	165.93%	
181	GUP Matchpool	GUP	$82,074,750	$1.09	75,000,000 *	$18,127,900	-0.15%	24.72%	58.36%	
182	POT PotCoin	POT	$81,630,474	$0.372579	219,095,747 *	$9,237,230	-2.07%	-12.49%	15.38%	
183	SLS SaluS	SLS	$81,282,621	$80.50	1,009,778 *	$5,904,740	-0.63%	3.21%	-18.40%	
184	1ST FirstBlood	1ST	$79,947,110	$0.934416	85,558,371 *	$2,660,820	0.70%	0.75%	-7.22%	
185	HMQ Humaniq	HMQ	$79,188,849	$0.486230	162,862,944 *	$9,461,460	1.23%	0.34%	-18.77%	
186	AEON Aeon	AEON	$78,324,850	$5.35	14,651,140	$698,868	0.27%	-5.68%	40.84%	
187	PAC Paccoin	PAC	$78,199,619	$0.000023	3,384,005,065,495	$3,020,250	1.83%	69.37%	633.52%	
